# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
510.055,-11.556,0.459,34.253
508.161,-11.533,0.459,34.253
506.271,-11.515,0.459,34.253
504.383,-11.504,0.459,34.253
502.497,-11.496,0.459,34.253
500.611,-11.49,0.459,34.253
498.727,-11.484,0.459,34.253
496.844,-11.476,0.459,34.253
494.962,-11.465,0.459,34.253
493.082,-11.451,0.459,34.253
491.205,-11.435,0.459,34.253
489.331,-11.416,0.459,34.253
487.46,-11.397,0.459,34.253
485.592,-11.379,0.459,34.253
483.726,-11.362,0.459,34.253
481.864,-11.348,0.459,34.253
480.003,-11.339,0.459,34.253
478.143,-11.336,0.459,34.253
476.284,-11.338,0.459,34.253
474.423,-11.345,0.459,34.253
472.561,-11.357,0.459,34.253
470.697,-11.372,0.459,34.253
468.83,-11.389,0.459,34.253
466.96,-11.406,0.459,34.253
465.088,-11.422,0.459,34.253
463.213,-11.436,0.459,34.253
461.336,-11.446,0.459,34.253
459.458,-11.45,0.459,34.253
457.58,-11.448,0.459,34.253
455.702,-11.441,0.459,34.253
453.826,-11.43,0.459,34.253
451.953,-11.414,0.459,34.253
450.082,-11.396,0.459,34.253
448.214,-11.376,0.459,34.253
446.35,-11.357,0.459,34.253
444.488,-11.338,0.459,34.253
442.63,-11.322,0.459,34.253
440.773,-11.31,0.459,34.253
438.919,-11.304,0.459,34.253
437.065,-11.301,0.459,34.253
435.211,-11.304,0.459,34.253
433.356,-11.311,0.459,34.253
431.499,-11.322,0.459,34.253
429.641,-11.334,0.459,34.253
427.781,-11.347,0.459,34.253
425.918,-11.361,0.459,34.253
424.053,-11.375,0.459,34.253
422.186,-11.387,0.459,34.253
420.318,-11.398,0.459,34.253
418.447,-11.406,0.459,34.253
416.576,-11.412,0.459,34.253
414.703,-11.416,0.459,34.253
412.83,-11.417,0.459,34.253
410.957,-11.419,0.459,34.253
409.084,-11.421,0.459,34.253
407.21,-11.422,0.459,34.253
405.336,-11.426,0.459,34.253
403.462,-11.431,0.459,34.253
401.586,-11.437,0.459,34.253
399.709,-11.446,0.459,34.253
397.831,-11.458,0.459,34.253
395.95,-11.471,0.459,34.253
394.067,-11.487,0.459,34.253
392.181,-11.502,0.459,34.253
390.293,-11.518,0.459,34.253
388.403,-11.532,0.459,34.253
386.51,-11.544,0.459,34.253
384.615,-11.553,0.459,34.253
382.72,-11.559,0.459,34.253
380.823,-11.563,0.459,34.253
378.926,-11.562,0.459,34.253
377.03,-11.558,0.459,34.253
375.135,-11.55,0.459,34.253
373.241,-11.541,0.459,34.253
371.348,-11.53,0.459,34.253
369.458,-11.517,0.459,34.253
367.57,-11.503,0.459,34.253
365.684,-11.49,0.459,34.253
363.8,-11.477,0.459,34.253
361.919,-11.464,0.459,34.253
360.039,-11.455,0.459,34.253
358.161,-11.448,0.459,34.253
356.283,-11.444,0.459,34.253
354.406,-11.443,0.459,34.253
352.529,-11.445,0.459,34.253
350.651,-11.449,0.459,34.253
348.772,-11.457,0.459,34.253
346.892,-11.467,0.459,34.253
345.01,-11.479,0.459,34.253
343.126,-11.491,0.459,34.253
341.24,-11.504,0.459,34.253
339.352,-11.515,0.459,34.253
337.462,-11.526,0.459,34.253
335.57,-11.536,0.459,34.253
333.677,-11.546,0.459,34.253
331.782,-11.554,0.459,34.253
329.886,-11.561,0.459,34.253
327.989,-11.569,0.459,34.253
326.091,-11.577,0.459,34.253
324.191,-11.586,0.459,34.253
322.29,-11.594,0.459,34.253
320.387,-11.604,0.459,34.253
318.483,-11.612,0.459,34.253
316.577,-11.62,0.459,34.253
314.67,-11.626,0.459,34.253
312.763,-11.63,0.459,34.253
310.855,-11.632,0.459,34.253
308.947,-11.631,0.459,34.253
307.039,-11.627,0.459,34.253
305.132,-11.621,0.459,34.253
303.227,-11.613,0.459,34.253
301.322,-11.605,0.459,34.253
299.419,-11.597,0.459,34.253
297.517,-11.591,0.459,34.253
295.616,-11.587,0.459,34.253
293.716,-11.587,0.459,34.253
291.815,-11.59,0.459,34.253
289.913,-11.596,0.459,34.253
288.01,-11.605,0.459,34.253
