# Simulation 1 (Up to date)
# 883 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
806.368,-11.137,0.46,30
804.547,-11.062,0.46,30
802.74,-10.991,0.46,30
800.942,-10.924,0.46,30
799.157,-10.859,0.46,30
797.379,-10.797,0.46,30
795.614,-10.74,0.46,30
793.855,-10.688,0.46,30
792.106,-10.639,0.46,30
790.364,-10.595,0.46,30
788.629,-10.555,0.46,30
786.903,-10.516,0.46,30
785.18,-10.48,0.46,30
783.465,-10.447,0.46,30
781.752,-10.415,0.46,30
780.046,-10.382,0.46,30
778.346,-10.349,0.46,30
776.65,-10.315,0.46,30
774.961,-10.281,0.459,30
773.278,-10.247,0.459,30
771.601,-10.214,0.459,30
769.928,-10.183,0.459,30
768.258,-10.157,0.459,30
766.594,-10.135,0.459,30
764.934,-10.119,0.459,30
763.274,-10.109,0.459,30
761.617,-10.105,0.459,30
759.957,-10.106,0.459,30
758.301,-10.11,0.459,30
756.64,-10.115,0.459,30
754.98,-10.122,0.459,30
753.32,-10.129,0.459,30
751.66,-10.133,0.459,30
749.997,-10.135,0.459,30
748.333,-10.134,0.459,30
746.673,-10.129,0.459,30
745.01,-10.123,0.459,30
743.35,-10.116,0.459,30
741.693,-10.11,0.459,30
740.033,-10.106,0.459,30
738.376,-10.105,0.459,30
736.719,-10.11,0.459,30
735.059,-10.12,0.459,30
733.399,-10.134,0.459,30
731.732,-10.153,0.459,30
730.066,-10.174,0.459,30
728.396,-10.2,0.459,30
726.719,-10.226,0.459,30
725.039,-10.251,0.459,30
723.356,-10.277,0.459,30
721.67,-10.302,0.459,30
719.977,-10.326,0.459,30
718.281,-10.349,0.459,30
716.581,-10.372,0.459,30
714.879,-10.394,0.459,30
713.173,-10.417,0.459,30
711.46,-10.442,0.459,30
709.744,-10.468,0.459,30
708.025,-10.496,0.459,30
706.302,-10.524,0.459,30
704.573,-10.552,0.459,30
702.841,-10.58,0.459,30
701.102,-10.607,0.459,30
699.36,-10.633,0.459,30
697.615,-10.658,0.459,30
695.863,-10.681,0.459,30
694.111,-10.701,0.459,30
692.352,-10.721,0.459,30
690.594,-10.738,0.459,30
688.829,-10.756,0.459,30
687.064,-10.774,0.459,30
685.295,-10.792,0.459,30
683.524,-10.81,0.459,30
681.749,-10.83,0.459,30
679.97,-10.85,0.459,30
678.189,-10.872,0.459,30
676.404,-10.895,0.459,30
674.613,-10.917,0.459,30
672.822,-10.94,0.459,30
671.024,-10.959,0.459,30
669.226,-10.977,0.459,30
667.425,-10.99,0.459,30
665.62,-11,0.459,30
663.816,-11.006,0.459,30
662.011,-11.008,0.459,30
660.203,-11.005,0.459,30
658.399,-10.999,0.459,30
656.594,-10.992,0.459,30
654.793,-10.984,0.459,30
652.992,-10.977,0.459,30
651.191,-10.972,0.459,30
649.393,-10.969,0.459,30
647.592,-10.968,0.459,30
645.794,-10.971,0.459,30
643.993,-10.977,0.459,30
642.192,-10.984,0.459,30
640.39,-10.994,0.459,30
638.586,-11.004,0.459,30
636.778,-11.012,0.459,30
634.97,-11.02,0.459,30
633.163,-11.023,0.459,30
631.355,-11.025,0.459,30
629.547,-11.021,0.459,30
627.74,-11.013,0.459,30
625.935,-11,0.459,30
624.131,-10.985,0.459,30
622.329,-10.967,0.459,30
620.531,-10.95,0.459,30
618.737,-10.933,0.459,30
616.946,-10.919,0.459,30
615.154,-10.909,0.459,30
613.366,-10.902,0.459,30
611.578,-10.902,0.459,30
609.79,-10.905,0.459,30
607.999,-10.912,0.459,30
606.211,-10.923,0.459,30
604.416,-10.936,0.459,30
602.621,-10.95,0.459,30
600.823,-10.965,0.459,30
599.022,-10.979,0.459,30
597.221,-10.991,0.459,30
595.417,-11.001,0.459,30
593.612,-11.009,0.459,30
591.804,-11.014,0.459,30
590,-11.014,0.459,30
588.192,-11.011,0.459,30
586.388,-11.004,0.459,30
584.583,-10.995,0.459,30
582.779,-10.983,0.459,30
580.978,-10.971,0.459,30
579.18,-10.959,0.459,30
577.382,-10.951,0.459,30
575.587,-10.946,0.459,30
573.793,-10.945,0.459,30
571.998,-10.949,0.459,30
570.2,-10.957,0.459,30
568.402,-10.97,0.459,30
566.601,-10.984,0.459,30
564.797,-10.998,0.459,30
562.992,-11.012,0.459,30
561.184,-11.022,0.459,30
559.377,-11.028,0.459,30
557.566,-11.03,0.459,30
555.758,-11.026,0.459,30
553.95,-11.018,0.459,30
552.142,-11.007,0.459,30
550.338,-10.994,0.459,30
548.537,-10.981,0.459,30
546.736,-10.971,0.459,30
544.938,-10.965,0.459,30
543.14,-10.963,0.459,30
541.339,-10.967,0.459,30
539.541,-10.975,0.459,30
537.74,-10.988,0.459,30
535.935,-11.003,0.459,30
534.127,-11.02,0.459,30
532.32,-11.034,0.459,30
530.509,-11.047,0.459,30
528.694,-11.055,0.459,30
526.883,-11.059,0.459,30
525.069,-11.058,0.459,30
523.255,-11.054,0.459,30
521.44,-11.047,0.459,30
519.629,-11.039,0.459,30
517.818,-11.031,0.459,30
516.01,-11.023,0.459,30
514.203,-11.017,0.459,30
512.395,-11.012,0.459,30
510.591,-11.007,0.459,30
508.783,-11.005,0.459,30
506.978,-11.004,0.459,30
505.174,-11.003,0.459,30
503.369,-11.003,0.459,30
501.565,-11.002,0.459,30
499.76,-11.001,0.459,30
497.956,-10.999,0.459,30
496.152,-10.995,0.459,30
494.347,-10.99,0.459,30
492.546,-10.981,0.459,30
490.745,-10.968,0.459,30
488.947,-10.953,0.459,30
487.152,-10.935,0.459,30
485.361,-10.918,0.459,30
483.57,-10.901,0.459,30
481.781,-10.888,0.459,30
479.997,-10.878,0.459,30
478.212,-10.874,0.459,30
476.43,-10.875,0.459,30
474.646,-10.884,0.459,30
472.858,-10.898,0.459,30
471.07,-10.917,0.459,30
469.278,-10.938,0.459,30
467.48,-10.962,0.459,30
465.679,-10.986,0.459,30
463.878,-11.007,0.459,30
462.07,-11.026,0.459,30
460.259,-11.041,0.459,30
458.448,-11.051,0.459,30
456.634,-11.055,0.459,30
454.82,-11.055,0.459,30
453.009,-11.049,0.459,30
451.194,-11.04,0.459,30
449.386,-11.03,0.459,30
447.575,-11.019,0.459,30
445.771,-11.008,0.459,30
443.967,-11,0.459,30
442.162,-10.993,0.459,30
440.358,-10.989,0.459,30
438.556,-10.985,0.459,30
436.755,-10.983,0.459,30
434.954,-10.98,0.459,30
433.153,-10.975,0.459,30
431.352,-10.968,0.459,30
429.554,-10.956,0.459,30
427.759,-10.941,0.459,30
425.965,-10.923,0.459,30
424.173,-10.903,0.459,30
422.388,-10.884,0.459,30
420.604,-10.864,0.459,30
418.822,-10.847,0.459,30
